"","Genes","Number of Splicing Events","dataset"
"4173","MFSD14A",1,"HumanCTX"
"4174","MFSD4A",1,"HumanCTX"
"4175","MFSD6",1,"HumanCTX"
"4176","MGAT1",1,"HumanCTX"
"4177","MGAT4B",1,"HumanCTX"
"4178","MGAT4C",1,"HumanCTX"
"4179","MGST1",1,"HumanCTX"
"4180","MIA2",1,"HumanCTX"
"4181","MICU3",1,"HumanCTX"
"4182","MID1",1,"HumanCTX"
"4183","MID1IP1",1,"HumanCTX"
"4184","MINDY1",1,"HumanCTX"
"4185","MINPP1",1,"HumanCTX"
"4186","MIR181A1HG",1,"HumanCTX"
"4187","MIR7-3HG",1,"HumanCTX"
"4188","MIS12",1,"HumanCTX"
"4189","MKS1",1,"HumanCTX"
"4190","MLF2",1,"HumanCTX"
"4191","MLH1",1,"HumanCTX"
"4192","MLLT1",1,"HumanCTX"
"4193","MLLT3",1,"HumanCTX"
"4194","MMAB",1,"HumanCTX"
"4195","MMP24",1,"HumanCTX"
"4196","MMS19",1,"HumanCTX"
"4197","MOCS1",1,"HumanCTX"
"4198","MOCS2",1,"HumanCTX"
"4199","MOSPD1",1,"HumanCTX"
"4200","MOSPD3",1,"HumanCTX"
"4201","MPC1",1,"HumanCTX"
"4202","MPHOSPH10",1,"HumanCTX"
"4203","MPP1",1,"HumanCTX"
"4204","MPP2",1,"HumanCTX"
"4205","MPP3",1,"HumanCTX"
"4206","MPP6",1,"HumanCTX"
"4207","MPRIP",1,"HumanCTX"
"4208","MRAP2",1,"HumanCTX"
"4209","MRPL10",1,"HumanCTX"
"4210","MRPL11",1,"HumanCTX"
"4211","MRPL14",1,"HumanCTX"
"4212","MRPL18",1,"HumanCTX"
"4213","MRPL22",1,"HumanCTX"
"4214","MRPL24",1,"HumanCTX"
"4215","MRPL28",1,"HumanCTX"
"4216","MRPL33",1,"HumanCTX"
"4217","MRPL4",1,"HumanCTX"
"4218","MRPL42",1,"HumanCTX"
"4219","MRPL46",1,"HumanCTX"
"4220","MRPL47",1,"HumanCTX"
"4221","MRPL48",1,"HumanCTX"
"4222","MRPS10",1,"HumanCTX"
"4223","MRPS14",1,"HumanCTX"
"4224","MRPS15",1,"HumanCTX"
"4225","MRPS22",1,"HumanCTX"
"4226","MRPS26",1,"HumanCTX"
"4227","MRPS33",1,"HumanCTX"
"4228","MRPS35",1,"HumanCTX"
"4229","MRPS36",1,"HumanCTX"
"4230","MRPS7",1,"HumanCTX"
"4231","MRPS9",1,"HumanCTX"
"4232","MRTFA",1,"HumanCTX"
"4233","MRTFB",1,"HumanCTX"
"4234","MRTO4",1,"HumanCTX"
"4235","MSANTD3",1,"HumanCTX"
"4236","MSANTD3-TMEFF1",1,"HumanCTX"
"4237","MSANTD4",1,"HumanCTX"
"4238","MSH2",1,"HumanCTX"
"4239","MSI1",1,"HumanCTX"
"4240","MSL1",1,"HumanCTX"
"4241","MTA3",1,"HumanCTX"
"4242","MTDH",1,"HumanCTX"
"4243","MTERF2",1,"HumanCTX"
"4244","MTF2",1,"HumanCTX"
"4245","MTFR1",1,"HumanCTX"
"4246","MTG2",1,"HumanCTX"
"4247","MTHFD1",1,"HumanCTX"
"4248","MTIF2",1,"HumanCTX"
"4249","MTIF3",1,"HumanCTX"
"4250","MTMR3",1,"HumanCTX"
"4251","MTMR9",1,"HumanCTX"
"4252","MTSS2",1,"HumanCTX"
"4253","MTUS1",1,"HumanCTX"
"4254","MTX1",1,"HumanCTX"
"4255","MUL1",1,"HumanCTX"
"4256","MVD",1,"HumanCTX"
"4257","MVK",1,"HumanCTX"
"4258","MX1",1,"HumanCTX"
"4259","MXRA8",1,"HumanCTX"
"4260","MYCL",1,"HumanCTX"
"4261","MYD88",1,"HumanCTX"
"4262","MYH7B",1,"HumanCTX"
"4263","MYL6B",1,"HumanCTX"
"4264","MYLK",1,"HumanCTX"
"4265","MYO10",1,"HumanCTX"
"4266","MYO6",1,"HumanCTX"
"4267","MYO9A",1,"HumanCTX"
"4268","MYPOP",1,"HumanCTX"
"4269","MYT1L",1,"HumanCTX"
"4270","MZT2B",1,"HumanCTX"
"4271","N4BP2L1",1,"HumanCTX"
"4272","N6AMT1",1,"HumanCTX"
"4273","NAA10",1,"HumanCTX"
"4274","NAA16",1,"HumanCTX"
"4275","NAA38",1,"HumanCTX"
"4276","NAA40",1,"HumanCTX"
"4277","NABP2",1,"HumanCTX"
"4278","NADK2",1,"HumanCTX"
"4279","NAE1",1,"HumanCTX"
"4280","NAGLU",1,"HumanCTX"
"4281","NAMPT",1,"HumanCTX"
"4282","NAPB",1,"HumanCTX"
"4283","NASP",1,"HumanCTX"
"4284","NBR1",1,"HumanCTX"
"4285","NCAM1",1,"HumanCTX"
"4286","NCAPG2",1,"HumanCTX"
"4287","NCAPH",1,"HumanCTX"
"4288","NCBP3",1,"HumanCTX"
"4289","NCEH1",1,"HumanCTX"
"4290","NCK2",1,"HumanCTX"
"4291","NCKAP1",1,"HumanCTX"
"4292","NCL",1,"HumanCTX"
"4293","NDC1",1,"HumanCTX"
"4294","NDFIP1",1,"HumanCTX"
"4295","NDP",1,"HumanCTX"
"4296","NDRG1",1,"HumanCTX"
"4297","NDRG3",1,"HumanCTX"
"4298","NDST2",1,"HumanCTX"
"4299","NDUFA12",1,"HumanCTX"
"4300","NDUFA13",1,"HumanCTX"
"4301","NDUFAF1",1,"HumanCTX"
"4302","NDUFAF4",1,"HumanCTX"
"4303","NDUFAF6",1,"HumanCTX"
"4304","NDUFB1",1,"HumanCTX"
"4305","NDUFB10",1,"HumanCTX"
"4306","NDUFB11",1,"HumanCTX"
"4307","NDUFB5",1,"HumanCTX"
"4308","NDUFV1",1,"HumanCTX"
"4309","NDUFV3",1,"HumanCTX"
"4310","NECAB1",1,"HumanCTX"
"4311","NECAP1",1,"HumanCTX"
"4312","NECAP2",1,"HumanCTX"
"4313","NECTIN1",1,"HumanCTX"
"4314","NEDD4L",1,"HumanCTX"
"4315","NEDD8",1,"HumanCTX"
"4316","NEFM",1,"HumanCTX"
"4317","NEIL1",1,"HumanCTX"
"4318","NEK2",1,"HumanCTX"
"4319","NEK4",1,"HumanCTX"
"4320","NEK6",1,"HumanCTX"
"4321","NELFA",1,"HumanCTX"
"4322","NELFB",1,"HumanCTX"
"4323","NELFE",1,"HumanCTX"
"4324","NELL1",1,"HumanCTX"
"4325","NENF",1,"HumanCTX"
"4326","NEO1",1,"HumanCTX"
"4327","NEPRO",1,"HumanCTX"
"4328","NEU3",1,"HumanCTX"
"4329","NEUROD2",1,"HumanCTX"
"4330","NEUROD6",1,"HumanCTX"
"4331","NF2",1,"HumanCTX"
"4332","NFASC",1,"HumanCTX"
"4333","NFATC3",1,"HumanCTX"
"4334","NFE2L1",1,"HumanCTX"
"4335","NFE2L2",1,"HumanCTX"
"4336","NFKBIA",1,"HumanCTX"
"4337","NFKBIB",1,"HumanCTX"
"4338","NFRKB",1,"HumanCTX"
"4339","NFS1",1,"HumanCTX"
"4340","NFYA",1,"HumanCTX"
"4341","NFYB",1,"HumanCTX"
"4342","NGLY1",1,"HumanCTX"
"4343","NHLRC3",1,"HumanCTX"
"4344","NHP2",1,"HumanCTX"
"4345","NICN1",1,"HumanCTX"
"4346","NIM1K",1,"HumanCTX"
"4347","NIPA1",1,"HumanCTX"
"4348","NIPBL",1,"HumanCTX"
"4349","NIPSNAP1",1,"HumanCTX"
"4350","NIPSNAP2",1,"HumanCTX"
"4351","NIPSNAP3A",1,"HumanCTX"
"4352","NIT2",1,"HumanCTX"
"4353","NKAIN2",1,"HumanCTX"
"4354","NKAPD1",1,"HumanCTX"
"4355","NKIRAS1",1,"HumanCTX"
"4356","NKRF",1,"HumanCTX"
"4357","NLGN4X",1,"HumanCTX"
"4358","NLN",1,"HumanCTX"
"4359","NMD3",1,"HumanCTX"
"4360","NME2",1,"HumanCTX"
"4361","NME3",1,"HumanCTX"
"4362","NMNAT2",1,"HumanCTX"
"4363","NMRAL1",1,"HumanCTX"
"4364","NMRK1",1,"HumanCTX"
"4365","NMT2",1,"HumanCTX"
"4366","NNAT",1,"HumanCTX"
"4367","NNT-AS1",1,"HumanCTX"
"4368","NOLC1",1,"HumanCTX"
"4369","NOMO2",1,"HumanCTX"
"4370","NOP16",1,"HumanCTX"
"4371","NOP53",1,"HumanCTX"
"4372","NOSIP",1,"HumanCTX"
"4373","NOVA1",1,"HumanCTX"
"4374","NPAS1",1,"HumanCTX"
"4375","NPAS2",1,"HumanCTX"
"4376","NPEPL1",1,"HumanCTX"
"4377","NPRL3",1,"HumanCTX"
"4378","NPY1R",1,"HumanCTX"
"4379","NPY2R",1,"HumanCTX"
"4380","NQO2",1,"HumanCTX"
"4381","NR2C1",1,"HumanCTX"
"4382","NR2E1",1,"HumanCTX"
"4383","NR3C1",1,"HumanCTX"
"4384","NRAS",1,"HumanCTX"
"4385","NRCAM",1,"HumanCTX"
"4386","NRN1",1,"HumanCTX"
"4387","NRP1",1,"HumanCTX"
"4388","NRP2",1,"HumanCTX"
"4389","NRSN1",1,"HumanCTX"
"4390","NRXN1",1,"HumanCTX"
"4391","NSD1",1,"HumanCTX"
"4392","NSD2",1,"HumanCTX"
"4393","NSD3",1,"HumanCTX"
"4394","NSF",1,"HumanCTX"
"4395","NSG2",1,"HumanCTX"
"4396","NSMCE1",1,"HumanCTX"
"4397","NSRP1",1,"HumanCTX"
"4398","NSUN5P2",1,"HumanCTX"
"4399","NT5C",1,"HumanCTX"
"4400","NT5DC1",1,"HumanCTX"
"4401","NT5DC2",1,"HumanCTX"
"4402","NT5M",1,"HumanCTX"
"4403","NTMT1",1,"HumanCTX"
"4404","NTN4",1,"HumanCTX"
"4405","NTPCR",1,"HumanCTX"
"4406","NTSR2",1,"HumanCTX"
"4407","NUAK1",1,"HumanCTX"
"4408","NUCB1",1,"HumanCTX"
"4409","NUDC",1,"HumanCTX"
"4410","NUDCD2",1,"HumanCTX"
"4411","NUDCD3",1,"HumanCTX"
"4412","NUDT12",1,"HumanCTX"
"4413","NUDT14",1,"HumanCTX"
"4414","NUDT16L1",1,"HumanCTX"
"4415","NUDT22",1,"HumanCTX"
"4416","NUDT6",1,"HumanCTX"
"4417","NUF2",1,"HumanCTX"
"4418","NUP107",1,"HumanCTX"
"4419","NUP50",1,"HumanCTX"
"4420","NUP54",1,"HumanCTX"
"4421","NUP85",1,"HumanCTX"
"4422","NUP88",1,"HumanCTX"
"4423","NUP93",1,"HumanCTX"
"4424","NUPR1",1,"HumanCTX"
"4425","NUS1",1,"HumanCTX"
"4426","NUTF2",1,"HumanCTX"
"4427","NUTM2A-AS1",1,"HumanCTX"
"4428","OAF",1,"HumanCTX"
"4429","OARD1",1,"HumanCTX"
"4430","OBSL1",1,"HumanCTX"
"4431","OCIAD2",1,"HumanCTX"
"4432","OFD1",1,"HumanCTX"
"4433","OGA",1,"HumanCTX"
"4434","OGDH",1,"HumanCTX"
"4435","OGFOD2",1,"HumanCTX"
"4436","OGT",1,"HumanCTX"
"4437","OLFM2",1,"HumanCTX"
"4438","OLMALINC",1,"HumanCTX"
"4439","OPA1",1,"HumanCTX"
"4440","OPALIN",1,"HumanCTX"
"4441","OR2L13",1,"HumanCTX"
"4442","ORC5",1,"HumanCTX"
"4443","ORMDL1",1,"HumanCTX"
"4444","OSBP2",1,"HumanCTX"
"4445","OSBPL9",1,"HumanCTX"
"4446","OSCP1",1,"HumanCTX"
"4447","OSGEPL1",1,"HumanCTX"
"4448","OSTC",1,"HumanCTX"
"4449","OSTF1",1,"HumanCTX"
"4450","OTUD6B",1,"HumanCTX"
"4451","OXA1L",1,"HumanCTX"
"4452","OXCT1",1,"HumanCTX"
"4453","OXLD1",1,"HumanCTX"
"4454","OXR1",1,"HumanCTX"
"4455","P4HA1",1,"HumanCTX"
"4456","P4HA2",1,"HumanCTX"
"4457","PABPN1",1,"HumanCTX"
"4458","PACS2",1,"HumanCTX"
"4459","PACSIN1",1,"HumanCTX"
"4460","PACSIN2",1,"HumanCTX"
"4461","PADI2",1,"HumanCTX"
"4462","PAF1",1,"HumanCTX"
"4463","PAFAH1B1",1,"HumanCTX"
"4464","PAG1",1,"HumanCTX"
"4465","PAK4",1,"HumanCTX"
"4466","PAK6",1,"HumanCTX"
"4467","PALLD",1,"HumanCTX"
"4468","PALM2",1,"HumanCTX"
"4469","PAM16",1,"HumanCTX"
"4470","PAMR1",1,"HumanCTX"
"4471","PANK1",1,"HumanCTX"
"4472","PANK2",1,"HumanCTX"
"4473","PAPOLA",1,"HumanCTX"
"4474","PARG",1,"HumanCTX"
"4475","PARK7",1,"HumanCTX"
"4476","PARM1",1,"HumanCTX"
"4477","PARN",1,"HumanCTX"
"4478","PARP11",1,"HumanCTX"
"4479","PARVB",1,"HumanCTX"
"4480","PATL1",1,"HumanCTX"
"4481","PATZ1",1,"HumanCTX"
"4482","PAXX",1,"HumanCTX"
"4483","PBRM1",1,"HumanCTX"
"4484","PBX1",1,"HumanCTX"
"4485","PBX3",1,"HumanCTX"
"4486","PBX4",1,"HumanCTX"
"4487","PC",1,"HumanCTX"
"4488","PCBD1",1,"HumanCTX"
"4489","PCDH10",1,"HumanCTX"
"4490","PCDH17",1,"HumanCTX"
"4491","PCDH8",1,"HumanCTX"
"4492","PCDHA4",1,"HumanCTX"
"4493","PCDHAC2",1,"HumanCTX"
"4494","PCDHGA9",1,"HumanCTX"
"4495","PCDHGB7",1,"HumanCTX"
"4496","PCDHGC5",1,"HumanCTX"
"4497","PCGF6",1,"HumanCTX"
"4498","PCM1",1,"HumanCTX"
"4499","PCMTD1",1,"HumanCTX"
"4500","PCNX3",1,"HumanCTX"
"4501","PCSK7",1,"HumanCTX"
"4502","PDCD10",1,"HumanCTX"
"4503","PDCD11",1,"HumanCTX"
"4504","PDE4B",1,"HumanCTX"
"4505","PDE7A",1,"HumanCTX"
"4506","PDE9A",1,"HumanCTX"
"4507","PDIA3",1,"HumanCTX"
"4508","PDK2",1,"HumanCTX"
"4509","PDLIM2",1,"HumanCTX"
"4510","PDLIM3",1,"HumanCTX"
"4511","PDPK1",1,"HumanCTX"
"4512","PDXK",1,"HumanCTX"
"4513","PDZD11",1,"HumanCTX"
"4514","PDZRN3",1,"HumanCTX"
"4515","PEBP1",1,"HumanCTX"
"4516","PEG10",1,"HumanCTX"
"4517","PENK",1,"HumanCTX"
"4518","PEX11B",1,"HumanCTX"
"4519","PEX2",1,"HumanCTX"
"4520","PFDN1",1,"HumanCTX"
"4521","PGAM1",1,"HumanCTX"
"4522","PGAM5",1,"HumanCTX"
"4523","PGAP2",1,"HumanCTX"
"4524","PGBD5",1,"HumanCTX"
"4525","PGK1",1,"HumanCTX"
"4526","PGM3",1,"HumanCTX"
"4527","PHACTR3",1,"HumanCTX"
"4528","PHC1",1,"HumanCTX"
"4529","PHF14",1,"HumanCTX"
"4530","PHF20",1,"HumanCTX"
"4531","PHF6",1,"HumanCTX"
"4532","PI4KAP1",1,"HumanCTX"
"4533","PI4KAP2",1,"HumanCTX"
"4534","PIAS2",1,"HumanCTX"
"4535","PID1",1,"HumanCTX"
"4536","PIGA",1,"HumanCTX"
"4537","PIGF",1,"HumanCTX"
"4538","PIGG",1,"HumanCTX"
"4539","PIGO",1,"HumanCTX"
"4540","PIGV",1,"HumanCTX"
"4541","PIGW",1,"HumanCTX"
"4542","PIGX",1,"HumanCTX"
"4543","PIGY",1,"HumanCTX"
"4544","PIK3CB",1,"HumanCTX"
"4545","PIK3IP1",1,"HumanCTX"
"4546","PIK3R1",1,"HumanCTX"
"4547","PIM3",1,"HumanCTX"
"4548","PIMREG",1,"HumanCTX"
"4549","PINX1",1,"HumanCTX"
"4550","PITPNA",1,"HumanCTX"
"4551","PITPNC1",1,"HumanCTX"
"4552","PJA2",1,"HumanCTX"
"4553","PKDCC",1,"HumanCTX"
"4554","PKIG",1,"HumanCTX"
"4555","PKNOX1",1,"HumanCTX"
"4556","PKNOX2",1,"HumanCTX"
"4557","PLA2G12A",1,"HumanCTX"
"4558","PLA2G15",1,"HumanCTX"
"4559","PLAT",1,"HumanCTX"
"4560","PLEKHA3",1,"HumanCTX"
"4561","PLEKHA7",1,"HumanCTX"
"4562","PLEKHA8",1,"HumanCTX"
"4563","PLEKHJ1",1,"HumanCTX"
"4564","PLEKHM1P1",1,"HumanCTX"
"4565","PLEKHM2",1,"HumanCTX"
"4566","PLEKHO1",1,"HumanCTX"
"4567","PLK2",1,"HumanCTX"
"4568","PLOD2",1,"HumanCTX"
"4569","PLPBP",1,"HumanCTX"
"4570","PLPPR1",1,"HumanCTX"
"4571","PLPPR3",1,"HumanCTX"
"4572","PLS3",1,"HumanCTX"
"4573","PLSCR1",1,"HumanCTX"
"4574","PLSCR4",1,"HumanCTX"
"4575","PLXNA2",1,"HumanCTX"
"4576","PLXNB1",1,"HumanCTX"
"4577","PMM1",1,"HumanCTX"
"4578","PMP22",1,"HumanCTX"
"4579","PMPCA",1,"HumanCTX"
"4580","PNKP",1,"HumanCTX"
"4581","PNMA3",1,"HumanCTX"
"4582","PNPLA2",1,"HumanCTX"
"4583","PNPLA3",1,"HumanCTX"
"4584","PNPLA6",1,"HumanCTX"
"4585","POC1A",1,"HumanCTX"
"4586","PODXL",1,"HumanCTX"
"4587","POFUT2",1,"HumanCTX"
"4588","POGLUT1",1,"HumanCTX"
"4589","POGLUT2",1,"HumanCTX"
"4590","POLB",1,"HumanCTX"
"4591","POLDIP2",1,"HumanCTX"
"4592","POLDIP3",1,"HumanCTX"
"4593","POLI",1,"HumanCTX"
"4594","POLR1C",1,"HumanCTX"
"4595","POLR1D",1,"HumanCTX"
"4596","POLR2G",1,"HumanCTX"
"4597","POLR2H",1,"HumanCTX"
"4598","POLR2M",1,"HumanCTX"
"4599","POLR3E",1,"HumanCTX"
"4600","POLR3GL",1,"HumanCTX"
"4601","POLR3H",1,"HumanCTX"
"4602","POMGNT2",1,"HumanCTX"
"4603","POU6F2",1,"HumanCTX"
"4604","PPA2",1,"HumanCTX"
"4605","PPAN",1,"HumanCTX"
"4606","PPARD",1,"HumanCTX"
"4607","PPCS",1,"HumanCTX"
"4608","PPFIA1",1,"HumanCTX"
"4609","PPFIA3",1,"HumanCTX"
"4610","PPFIA4",1,"HumanCTX"
"4611","PPHLN1",1,"HumanCTX"
"4612","PPID",1,"HumanCTX"
"4613","PPIL2",1,"HumanCTX"
"4614","PPIL4",1,"HumanCTX"
"4615","PPIP5K2",1,"HumanCTX"
"4616","PPM1E",1,"HumanCTX"
"4617","PPM1F",1,"HumanCTX"
"4618","PPM1G",1,"HumanCTX"
"4619","PPM1M",1,"HumanCTX"
"4620","PPP1R14A",1,"HumanCTX"
"4621","PPP1R14C",1,"HumanCTX"
"4622","PPP1R2",1,"HumanCTX"
"4623","PPP1R21",1,"HumanCTX"
"4624","PPP1R26",1,"HumanCTX"
"4625","PPP2R3C",1,"HumanCTX"
"4626","PPP2R5C",1,"HumanCTX"
"4627","PPP3CA",1,"HumanCTX"
"4628","PPP4R3A",1,"HumanCTX"
"4629","PPP5C",1,"HumanCTX"
"4630","PPP6C",1,"HumanCTX"
"4631","PPP6R3",1,"HumanCTX"
"4632","PPWD1",1,"HumanCTX"
"4633","PQLC3",1,"HumanCTX"
"4634","PRAF2",1,"HumanCTX"
"4635","PRCC",1,"HumanCTX"
"4636","PRCP",1,"HumanCTX"
"4637","PRDM2",1,"HumanCTX"
"4638","PRDX1",1,"HumanCTX"
"4639","PRDX2",1,"HumanCTX"
"4640","PRDX3",1,"HumanCTX"
"4641","PRDX5",1,"HumanCTX"
"4642","PRDX6",1,"HumanCTX"
"4643","PRELID1",1,"HumanCTX"
"4644","PREP",1,"HumanCTX"
"4645","PRKAB1",1,"HumanCTX"
"4646","PRKAB2",1,"HumanCTX"
"4647","PRKAG1",1,"HumanCTX"
"4648","PRKAG2",1,"HumanCTX"
"4649","PRKCB",1,"HumanCTX"
"4650","PRKCD",1,"HumanCTX"
"4651","PRKDC",1,"HumanCTX"
"4652","PRKRA",1,"HumanCTX"
"4653","PRKRIP1",1,"HumanCTX"
"4654","PRMT1",1,"HumanCTX"
"4655","PRMT5",1,"HumanCTX"
"4656","PRNP",1,"HumanCTX"
"4657","PRPF3",1,"HumanCTX"
"4658","PRPF31",1,"HumanCTX"
"4659","PRPF39",1,"HumanCTX"
"4660","PRPF4",1,"HumanCTX"
"4661","PRPF8",1,"HumanCTX"
"4662","PRR5",1,"HumanCTX"
"4663","PRR7",1,"HumanCTX"
"4664","PRRC2B",1,"HumanCTX"
"4665","PRRT3",1,"HumanCTX"
"4666","PRUNE2",1,"HumanCTX"
"4667","PSAP",1,"HumanCTX"
"4668","PSAT1",1,"HumanCTX"
"4669","PSMA3",1,"HumanCTX"
"4670","PSMA5",1,"HumanCTX"
"4671","PSMA7",1,"HumanCTX"
"4672","PSMB10",1,"HumanCTX"
"4673","PSMB2",1,"HumanCTX"
"4674","PSMB5",1,"HumanCTX"
"4675","PSMB7",1,"HumanCTX"
"4676","PSMC1",1,"HumanCTX"
"4677","PSMC2",1,"HumanCTX"
"4678","PSMC3",1,"HumanCTX"
"4679","PSMD3",1,"HumanCTX"
"4680","PSMD4",1,"HumanCTX"
"4681","PSMD5",1,"HumanCTX"
"4682","PSME2",1,"HumanCTX"
"4683","PSPC1",1,"HumanCTX"
"4684","PSTK",1,"HumanCTX"
"4685","PTBP2",1,"HumanCTX"
"4686","PTCD2",1,"HumanCTX"
"4687","PTDSS2",1,"HumanCTX"
"4688","PTGES2",1,"HumanCTX"
"4689","PTGR1",1,"HumanCTX"
"4690","PTK2",1,"HumanCTX"
"4691","PTP4A2",1,"HumanCTX"
"4692","PTPMT1",1,"HumanCTX"
"4693","PTPN1",1,"HumanCTX"
"4694","PTPRE",1,"HumanCTX"
"4695","PTPRO",1,"HumanCTX"
"4696","PTPRR",1,"HumanCTX"
"4697","PTPRS",1,"HumanCTX"
"4698","PTRH2",1,"HumanCTX"
"4699","PTS",1,"HumanCTX"
"4700","PTTG1IP",1,"HumanCTX"
"4701","PWP2",1,"HumanCTX"
"4702","PWWP2A",1,"HumanCTX"
"4703","PWWP2B",1,"HumanCTX"
"4704","PWWP3B",1,"HumanCTX"
"4705","PXN",1,"HumanCTX"
"4706","PYCR2",1,"HumanCTX"
"4707","QKI",1,"HumanCTX"
"4708","QRICH1",1,"HumanCTX"
"4709","QSOX1",1,"HumanCTX"
"4710","R3HDM2",1,"HumanCTX"
"4711","RAB10",1,"HumanCTX"
"4712","RAB11A",1,"HumanCTX"
"4713","RAB11FIP2",1,"HumanCTX"
"4714","RAB14",1,"HumanCTX"
"4715","RAB1A",1,"HumanCTX"
"4716","RAB1B",1,"HumanCTX"
"4717","RAB23",1,"HumanCTX"
"4718","RAB28",1,"HumanCTX"
"4719","RAB2A",1,"HumanCTX"
"4720","RAB35",1,"HumanCTX"
"4721","RAB3D",1,"HumanCTX"
"4722","RAB3GAP1",1,"HumanCTX"
"4723","RAB3IP",1,"HumanCTX"
"4724","RAB4A",1,"HumanCTX"
"4725","RAB5A",1,"HumanCTX"
"4726","RAB5C",1,"HumanCTX"
"4727","RAB5IF",1,"HumanCTX"
"4728","RAB8A",1,"HumanCTX"
"4729","RABAC1",1,"HumanCTX"
"4730","RABEP1",1,"HumanCTX"
"4731","RABGGTA",1,"HumanCTX"
"4732","RABL3",1,"HumanCTX"
"4733","RABL6",1,"HumanCTX"
"4734","RAC1",1,"HumanCTX"
"4735","RAC3",1,"HumanCTX"
"4736","RAD1",1,"HumanCTX"
"4737","RAD21",1,"HumanCTX"
"4738","RAD23B",1,"HumanCTX"
"4739","RAD50",1,"HumanCTX"
"4740","RAD54L2",1,"HumanCTX"
"4741","RAE1",1,"HumanCTX"
"4742","RAF1",1,"HumanCTX"
"4743","RAI14",1,"HumanCTX"
"4744","RAI2",1,"HumanCTX"
"4745","RALA",1,"HumanCTX"
"4746","RALGAPA1",1,"HumanCTX"
"4747","RALGPS1",1,"HumanCTX"
"4748","RALY",1,"HumanCTX"
"4749","RALYL",1,"HumanCTX"
"4750","RAMP1",1,"HumanCTX"
"4751","RANBP3L",1,"HumanCTX"
"4752","RANBP9",1,"HumanCTX"
"4753","RAP1GDS1",1,"HumanCTX"
"4754","RAPGEF2",1,"HumanCTX"
"4755","RAPGEF4",1,"HumanCTX"
"4756","RAPGEF6",1,"HumanCTX"
"4757","RARA",1,"HumanCTX"
"4758","RASA3",1,"HumanCTX"
"4759","RASA4CP",1,"HumanCTX"
"4760","RASD2",1,"HumanCTX"
"4761","RASGRP2",1,"HumanCTX"
"4762","RASL10A",1,"HumanCTX"
"4763","RASSF7",1,"HumanCTX"
"4764","RAVER1",1,"HumanCTX"
"4765","RB1CC1",1,"HumanCTX"
"4766","RBBP9",1,"HumanCTX"
"4767","RBCK1",1,"HumanCTX"
"4768","RBM10",1,"HumanCTX"
"4769","RBM14",1,"HumanCTX"
"4770","RBM19",1,"HumanCTX"
"4771","RBM22",1,"HumanCTX"
"4772","RBM24",1,"HumanCTX"
"4773","RBM38",1,"HumanCTX"
"4774","RBM48",1,"HumanCTX"
"4775","RBM8A",1,"HumanCTX"
"4776","RBMS1",1,"HumanCTX"
"4777","RBMXL1",1,"HumanCTX"
"4778","RCAN1",1,"HumanCTX"
"4779","RCAN3",1,"HumanCTX"
"4780","RCC1",1,"HumanCTX"
"4781","RCC1L",1,"HumanCTX"
"4782","RDH14",1,"HumanCTX"
"4783","RELCH",1,"HumanCTX"
"4784","RELL2",1,"HumanCTX"
"4785","RER1",1,"HumanCTX"
"4786","RERG",1,"HumanCTX"
"4787","RETREG3",1,"HumanCTX"
"4788","REXO1",1,"HumanCTX"
"4789","REXO2",1,"HumanCTX"
"4790","REXO5",1,"HumanCTX"
"4791","RFNG",1,"HumanCTX"
"4792","RFPL2",1,"HumanCTX"
"4793","RFTN1",1,"HumanCTX"
"4794","RFXANK",1,"HumanCTX"
"4795","RGL1",1,"HumanCTX"
"4796","RGR",1,"HumanCTX"
"4797","RGS14",1,"HumanCTX"
"4798","RGS19",1,"HumanCTX"
"4799","RGS20",1,"HumanCTX"
"4800","RGS3",1,"HumanCTX"
"4801","RGS7",1,"HumanCTX"
"4802","RHBDD3",1,"HumanCTX"
"4803","RHBDF1",1,"HumanCTX"
"4804","RHNO1",1,"HumanCTX"
"4805","RHOBTB2",1,"HumanCTX"
"4806","RHOU",1,"HumanCTX"
"4807","RILPL2",1,"HumanCTX"
"4808","RIMBP2",1,"HumanCTX"
"4809","RIMKLA",1,"HumanCTX"
"4810","RIMS3",1,"HumanCTX"
"4811","RIN1",1,"HumanCTX"
"4812","RIOK2",1,"HumanCTX"
"4813","RIPOR1",1,"HumanCTX"
"4814","RITA1",1,"HumanCTX"
"4815","RLBP1",1,"HumanCTX"
"4816","RMI1",1,"HumanCTX"
"4817","RNASE1",1,"HumanCTX"
"4818","RNASE4",1,"HumanCTX"
"4819","RNASET2",1,"HumanCTX"
"4820","RND3",1,"HumanCTX"
"4821","RNF11",1,"HumanCTX"
"4822","RNF111",1,"HumanCTX"
"4823","RNF114",1,"HumanCTX"
"4824","RNF115",1,"HumanCTX"
"4825","RNF121",1,"HumanCTX"
"4826","RNF13",1,"HumanCTX"
"4827","RNF144A-AS1",1,"HumanCTX"
"4828","RNF150",1,"HumanCTX"
"4829","RNF175",1,"HumanCTX"
"4830","RNF180",1,"HumanCTX"
"4831","RNF181",1,"HumanCTX"
"4832","RNF182",1,"HumanCTX"
"4833","RNF208",1,"HumanCTX"
"4834","RNF216",1,"HumanCTX"
"4835","RNF41",1,"HumanCTX"
"4836","RNF8",1,"HumanCTX"
"4837","RNFT1",1,"HumanCTX"
"4838","RNPC3",1,"HumanCTX"
"4839","RNPEPL1",1,"HumanCTX"
